180066;Their First Dinner;Rufus H Gillmore;Jul;2018;http://gutenberg.net.au/ebooks18/1800661h.html
180065;Risifi's Daughter;Anna Katharine Green;Jul;2018;http://gutenberg.net.au/ebooks18/1800651h.html
180064;Seven Million Dollars;Sinclair Lewis;Jul;2018;http://gutenberg.net.au/ebooks18/1800641h.html
180063;Jonah's Luck;Fergus Hume;Jul;2018;http://gutenberg.net.au/ebooks18/1800631h.html
180062;In Queer Street;Fergus Hume;Jul;2018;http://gutenberg.net.au/ebooks18/1800621h.html
180061;The Golden Lake;Carlton Dawe;Jul;2018;http://gutenberg.net.au/ebooks18/1800611h.html
180060;Collected Short Stories;E. W. Hornung;Jul;2018;http://gutenberg.net.au/ebooks18/1800601h.html
180059;The Scarlet Bat;Fergus Hume;Jul;2018;http://gutenberg.net.au/ebooks18/1800591h.html
180057;Trusty and Well Beloved;E. W. Hornung;Jun;2018;http://gutenberg.net.au/ebooks18/1800571h.html
180056;The Indian Bangle;Fergus Hume;Jun;2018;http://gutenberg.net.au/ebooks18/1800561hy.html
180055;Presumption;F. Scott Fitzgerald;Jun;2018;http://gutenberg.net.au/ebooks18/1800551h.html
180054;The Millionaire Mystery;Fergus Hume;Jun;2018;http://gutenberg.net.au/ebooks18/1800541h.html
180053;Shaggy's Morning;F. Scott Fitzgerald;Jun;2018;http://gutenberg.net.au/ebooks18/1800531h.html
180052;A Traitor in London;Fergus Hume;Jun;2018;http://gutenberg.net.au/ebooks18/1800521h.html
180051;The Gates of Dawn;Fergus Hume;Jun;2018;http://gutenberg.net.au/ebooks18/1800511h.html
180050;The White Prior;Fergus Hume;Jun;2018;http://gutenberg.net.au/ebooks18/1800501h.html
180048;The Island of Fantasy;Fergus Hume;Jun;2018;http://gutenberg.net.au/ebooks18/1800481h.html
180047;The Pusher-in-the-Face;F. Scott Fitzgerald;Jun;2018;http://gutenberg.net.au/ebooks18/1800471h.html
180046;The Black Carnation;Fergus Hume;Jun;2018;http://gutenberg.net.au/ebooks18/1800461h.html
180045;A Midnight Mystery;Fergus Hume;May;2018;http://gutenberg.net.au/ebooks18/1800451h.html
180044;The Yellow Hunchback;Fergus Hume;May;2018;http://gutenberg.net.au/ebooks18/1800441h.html
180043;A Snobbish Story;F. Scott Fitzgerald;May;2018;http://gutenberg.net.au/ebooks18/1800431h.html
180042;The Curse;Fergus Hume;May;2018;http://gutenberg.net.au/ebooks18/1800421h.html
180041;Three Acts of Music;F. Scott Fitzgerald;May;2018;http://gutenberg.net.au/ebooks18/1800411h.html
180040;Strange Sanctuary;F. Scott Fitzgerald;May;2018;http://gutenberg.net.au/ebooks18/1800401h.html
180039;The Lonely Church;Fergus Hume;May;2018;http://gutenberg.net.au/ebooks18/1800391h.html
180038;Too Cute for Words;F. Scott Fitzgerald;May;2018;http://gutenberg.net.au/ebooks18/1800381h.html
180037;The Disappearing Eye;Fergus Hume;May;2018;http://gutenberg.net.au/ebooks18/1800371h.html
180035;Hot and Cold Blood;F. Scott Fitzgerald;May;2018;http://gutenberg.net.au/ebooks18/1800351h.html
180034;The Adjuster;F. Scott Fitzgerald;May;2018;http://gutenberg.net.au/ebooks18/1800341h.html
180033;George;Stacy Aumonier;May;2018;http://gutenberg.net.au/ebooks18/1800331h.html
180031;Denis Dent;E. W. Hornung;May;2018;http://gutenberg.net.au/ebooks18/1800311h.html
180030;The Mystery of the Nine Stars;Aidan de Brune;May;2018;http://gutenberg.net.au/ebooks18/1800301h.html
180029;The Thousandth Woman;E. W. Hornung;Apr;2018;http://gutenberg.net.au/ebooks18/1800291h.html
180028;The Young Guard;E. W. Hornung;Apr;2018;http://gutenberg.net.au/ebooks18/1800281h.html
180027;The Ballad of Ensign Joy;E. W. Hornung;Apr;2018;http://gutenberg.net.au/ebooks18/1800271h.html
180025;Charles Reade;E. W. Hornung;Apr;2018;http://gutenberg.net.au/ebooks18/1800251h.html
180021;The Rogue's March;E. W. Hornung;Apr;2018;http://gutenberg.net.au/ebooks18/1800211h.html
180020;The Crime Doctor;E. W. Hornung;Mar;2018;http://gutenberg.net.au/ebooks18/1800201h.html
180019;Witching Hill;E. W. Hornung;Mar;2018;http://gutenberg.net.au/ebooks18/1800191h.html
180018;At Large;E. W. Hornung;Jan;2018;http://gutenberg.net.au/ebooks18/1800181h.html
180017;The Iron Stair;Eliza Humphreys;Mar;2018;http://gutenberg.net.au/ebooks18/1800171h.html
180016;Some Persons Unknown;E. W. Hornung;Mar;2018;http://gutenberg.net.au/ebooks18/1800161h.html
180015;Peccavi;E. W. Hornung;Mar;2018;http://gutenberg.net.au/ebooks18/1800151h.html
180014;Fathers of Men;E. W. Hornung;Mar;2018;http://gutenberg.net.au/ebooks18/1800141h.html
180013;Behind Closed Doors;Anna Katharine Green;Feb;2018;http://gutenberg.net.au/ebooks18/1800131h.html
180012;The Camera Fiend;E. W. Hornung;Feb;2018;http://gutenberg.net.au/ebooks18/1800121h.html
180011;The Detective's Dream;Mary Fortune;Jan;2018;http://gutenberg.net.au/ebooks18/1800111h.html
180010;Monk's Mark;Mary Fortune;Jan;2018;http://gutenberg.net.au/ebooks18/1800101h.html
180009;Hereditary;Mary Fortune;Jan;2018;http://gutenberg.net.au/ebooks18/1800091h.html
180007;Under Two Skies;E. W. Hornung;Jan;2018;http://gutenberg.net.au/ebooks18/1800071h.html
180006;At the Pistol's Point;E. W. Hornung;Jan;2018;http://gutenberg.net.au/ebooks18/1800061h.html
180004;The Shadow of the Rope;E. W. Hornung;Jan;2018;http://gutenberg.net.au/ebooks18/1800041h.html
180003;The Belle of Toorak;E. W. Hornung;Jan;2018;http://gutenberg.net.au/ebooks18/1800031h.html
180002;Irralie's Bushranger;E. W. Hornung;Jan;2018;http://gutenberg.net.au/ebooks18/1800021h.html
180001;Dead Men Tell No Tales;E. W. Hornung;Jan;2018;http://gutenberg.net.au/ebooks18/1800011h.html
170139;The Unbidden Guest;E. W. Hornung;Dec;2017;http://gutenberg.net.au/ebooks17/1701391h.html
170137;My Lord Duke;E. W. Hornung;Dec;2017;http://gutenberg.net.au/ebooks17/1701371h.html
170136;By Creek and Gully;Lala Richardson Fisher;Dec;2017;http://gutenberg.net.au/ebooks17/1701361h.html
170135;The Step on the Stair;Anna Katharine Green;Dec;2017;http://gutenberg.net.au/ebooks17/1701341h.html
170134;The Fever of Life;Fergus Hume;Dec;2017;http://gutenberg.net.au/ebooks17/1701341h.html
170133;The Turnpike House;Fergus Hume;Dec;2017;http://gutenberg.net.au/ebooks17/1701331h.html
170132;The Lady From Nowhere;Fergus Hume;Dec;2017;http://gutenberg.net.au/ebooks17/1701321h.html
170131;Young Blood;E. W. Hornung;Nov;2017;http://gutenberg.net.au/ebooks17/1701311h.html
170130;The Boss of Taroomba;E. W. Hornung;Nov;2017;http://gutenberg.net.au/ebooks17/1701301h.html
170128;The Clock Struck One;Fergus Hume;Nov;2017;http://gutenberg.net.au/ebooks17/1701281h.html
170127;Tiny Luttrell;E. W. Hornung;Nov;2017;http://gutenberg.net.au/ebooks17/1701271h.html
170126;The Unlawful Adventure;Aidan de Brune;Nov;2017;http://gutenberg.net.au/ebooks17/1701261h.html
170125;Stingaree;E. W. Hornung;Nov;2017;http://gutenberg.net.au/ebooks17/1701251h.html
170124;The Dagger and Cord;Aidan de Brune;Nov;2017;http://gutenberg.net.au/ebooks17/1701241h.html
170123;A Bride from the Bush;E. W. Hornung;Nov;2017;http://gutenberg.net.au/ebooks17/1701231h.html
170121;Tracked by a Tattoo;Fergus Hume;Nov;2017;http://gutenberg.net.au/ebooks17/1701211h.html
170120;The Red Bicycle;Fergus Hume;Nov;2017;http://gutenberg.net.au/ebooks17/1701201h.html
170119;The Spider;Fergus Hume;Nov;2017;http://gutenberg.net.au/ebooks17/1701191h.html
170117;The Pursuits of Mr Peter Pell;Aidan de Brune;Oct;2017;http://gutenberg.net.au/ebooks17/1701171h.html
170116;Lady Jim of Curzon Street;Fergus Hume;Oct;2017;http://gutenberg.net.au/ebooks17/1701161h.html
170115;The Flirting Fool;Aidan de Brune;Oct;2017;http://gutenberg.net.au/ebooks17/1701151h.html
